price,district,room_type,bathroom_type,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
250,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
216,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
1291,Central & Western,Entire home/apt,Private bathroom,3,1,2,2,23,98,0.9,1,1
267,Central & Western,Private room,Shared bathroom,2,1,1,1,0,60,1,0.8,369
425,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,91,0.98,0.73,101
140,Central & Western,Private room,Shared bathroom,2,1,1,1,0,100,1,0.8,369
520,Central & Western,Private room,Private bathroom,8,1,4,4,0,100,1,0.8,369
1185,Central & Western,Entire home/apt,Private bathroom,3,1,1,2,2,100,1,0.77,2
400,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,9,90,0.6,0.91,1
1500,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,100,0,0,2
989,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,21,90,0.9,0.75,1
267,Central & Western,Private room,Shared bathroom,2,1,1,1,0,100,1,0.8,369
1400,Central & Western,Entire home/apt,Private bathroom,4,1,2,2,0,94,1,0.33,239
1356,Central & Western,Entire home/apt,Private bathroom,3,1,1,1,8,88,1,1,2
450,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,80,0.91,1,1
175,Central & Western,Private room,Shared bathroom,1,1,1,1,0,78,0.95,0.77,230
1200,Central & Western,Private room,Shared bathroom,4,1,2,2,0,96,1,0.35,225
274,Central & Western,Private room,Shared bathroom,2,1,1,1,0,100,1,0.8,369
294,Central & Western,Private room,Shared bathroom,2,1,1,1,0,80,1,0.8,369
436,Central & Western,Private room,Shared bathroom,2,1,1,1,4,93,1,1,1
399,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,8,65,0.14,1,1
190,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
210,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
4320,Central & Western,Entire home/apt,Private bathroom,8,3,3,5,3,93,1,0,2
274,Central & Western,Private room,Shared bathroom,2,1,1,1,0,60,1,0.8,369
690,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,11,89,0.6,0.6,1
900,Central & Western,Entire home/apt,Private bathroom,8,1,4,4,0,100,1,0.8,369
400,Central & Western,Private room,Shared bathroom,2,1,1,1,1,100,0.18,0.36,2
788,Central & Western,Entire home/apt,Private bathroom,4,1,2,1,5,100,0.18,0.36,2
215,Central & Western,Private room,Shared bathroom,1,1,1,1,0,60,0.96,0.77,266
290,Central & Western,Private room,Shared bathroom,2,1,1,1,0,100,1,0.8,369
197,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
170,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
267,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,100,1,0.8,369
