price,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
570,2,1,,1,0,,0.98,0.73,101
759,3,1,,1,35,93,1,0.98,16
759,3,1,,1,19,94,1,0.98,16
231,1,1,1,1,0,,0.96,0.77,266
238,2,1,1,1,0,,0.95,0.77,230
500,1,1,1,1,15,87,1,0,2
1200,5,1,2,2,8,97,0,0.33,1
800,4,1,1,2,2,100,0.98,0.73,101
810,4,1,1,2,0,,0.98,0.73,101
1683,4,2,2,2,9,93,1,0.5,1
890,2,1,1,1,35,99,0.67,0.35,2
588,2,1,1,2,0,,0.95,0.77,230
245,1,1,1,1,0,,0.95,0.77,230
269,2,1,1,1,1,100,0.95,0.77,230
470,2,1,,1,4,80,0.98,0.73,101
520,2,1,,1,1,100,0.98,0.73,101
520,2,1,,1,1,100,0.98,0.73,101
590,2,1,,1,4,95,0.98,0.73,101
660,2,1,,1,1,100,0.98,0.73,101
590,2,1,,1,0,,0.98,0.73,101
414,2,1,1,1,17,98,,,1
1000,2,1,1,0,1,20,1,,1
227,2,1,1,1,0,,0.95,0.77,230
380,2,1,1,1,0,,,,1
950,4,1,1,3,85,94,0.8,1,6
247,1,1,1,1,0,,0.96,0.77,266
2143,2,1,1,1,0,,,,2
253,1,1,1,1,0,,0.96,0.77,266
240,1,1,1,1,0,,0.96,0.77,266
230,1,1,1,1,0,,0.96,0.77,266
1195,3,1,2,2,28,96,,1,1
1329,2,1,1,1,5,95,,0,2
214,1,1,1,1,0,,0.96,0.77,266
247,1,1,1,1,0,,0.96,0.77,266
800,1,1,1,1,1,100,1,,1
500,1,1,1,1,0,,,,1
1240,3,1,,1,66,95,1,0.98,16
1926,3,1,2,2,6,92,0.5,0,2
1050,4,1,,2,284,98,0.92,0.98,5
150,1,1,1,1,0,,0.96,0.77,266
997,2,1,1,1,11,96,,,1
759,3,1,,1,130,95,1,0.98,16
214,1,1,1,1,0,,0.96,0.77,266
230,1,1,1,1,0,,0.96,0.77,266
262,1,1.5,1,1,5,100,1,1,3
292,1,1.5,1,1,47,99,1,1,3
380,1,1,,1,67,94,1,0.97,4
797,2,1,1,1,9,95,0.5,0,2
1400,4,1,2,2,10,96,,,1
1756,5,1.5,2,2,2,80,,,3
797,4,1.5,2,2,7,91,1,1,3
210,1,1,1,1,0,,0.95,0.77,230
260,1,1,1,1,0,,0.96,0.77,266
2839,6,1,2,3,85,91,0,1,5
500,2,1,,1,30,95,0.9,0.76,2
660,3,1,,1,1,100,0.98,0.73,101
250,2,1,,1,112,94,1,1,1
520,2,1,,1,184,96,0.92,0.98,5
600,2,1,,1,137,94,0.91,0.99,5
570,2,1,,1,1,80,0.98,0.73,101
270,1,1,1,1,0,,,,1
3500,6,2,2,2,49,97,0.9,0.57,1
599,1,1,1,1,12,97,1,,1
591,1,1,1,1,22,97,0.5,1,0
920,4,1,,2,203,98,0.92,0.98,5
247,1,1,1,1,0,,0.96,0.77,266
685,4,1,1,2,8,94,,,1
164,1,1,1,1,0,,0.96,0.77,266
214,1,1,1,1,0,,0.96,0.77,266
247,1,1,1,1,0,,0.96,0.77,266
1331,3,1,1,1,33,90,0.83,0,1
300,2,1,1,1,0,,1,,1
1850,2,1,1,2,63,97,0,1,2
300,2,1,1,1,0,,0,,1
371,1,1,1,1,5,100,1,,2
826,2,1,1,1,8,100,,0,1
759,3,1,,1,6,93,1,0.98,16
850,4,1,2,3,8,100,0.25,0,2
224,1,1,1,0,0,,0.96,0.77,266
300,2,1,1,1,1,100,,0.75,3
576,2,1,,1,0,,0.98,0.73,101
660,2,1,,1,0,,0.98,0.73,101
527,2,1,,1,0,,0.98,0.73,101
558,2,1,,1,1,60,0.98,0.73,101
594,2,1,,1,2,90,0.98,0.73,101
570,2,1,,1,0,,0.98,0.73,101
558,2,1,,1,1,80,0.98,0.73,101
1139,2,1,1,1,0,,,,1
818,3,1,1,2,122,96,1,1,1
550,2,1,1,1,50,94,,1,3
1695,2,2,1,1,28,99,0.75,0.83,1
594,2,1,,1,3,90,0.98,0.73,101
2271,2,1,1,2,6,93,1,0.83,12
1009,2,1,1,1,4,100,,,1
800,3,1,1,1,4,100,1,1,1
390,2,1,,1,17,95,0.8,0.63,3
477,2,1,1,2,0,,,,1
639,2,1,,1,0,,0.98,0.73,101
850,4,1,1,2,99,93,0.91,1,5
240,1,1,1,1,0,,1,1,19
5500,2,1,1,1,1,,,,
686,5,1,,2,180,93,1,0.97,8
496,2,1,,1,2,90,0.98,0.73,101
400,2,1,1,1,23,94,0.6,0.2,1
1140,2,1,,1,0,,1,0.33,239
342,2,1,1,1,124,89,0.17,1,0
350,1,1,1,1,10,100,,,1
793,2,1,1,1,22,97,0.7,0.93,2
660,2,1,,1,0,,0.98,0.73,101
1100,2,1,1,1,0,,,,1
786,8,1,2,4,235,96,0,0.9,8
660,2,1,,1,0,,0.98,0.73,101
183,2,1,,1,0,,0.95,0.77,230
561,2,1,,1,0,,0.98,0.73,101
210,1,1,,1,0,,0.95,0.77,230
800,3,1,,1,75,95,1,0.96,7
1357,7,1.5,1,1,191,94,0,0.9,8
450,1,1,,1,3,100,,,1
600,2,1,1,2,29,94,1,1,2
219,1,1,1,1,0,,0.95,0.77,230
220,1,1,1,1,0,,0.96,0.77,266
1097,2,1,,1,77,90,0.9,1,0
150,1,,1,1,6,87,0.8,0.93,4
221,1,1,1,1,9,89,0.8,0.93,4
170,1,1,1,1,0,,0.95,0.77,230
170,1,1,1,1,0,,0.96,0.77,266
2850,2,1,1,1,0,,1,0.33,239
571,4,1,2,2,94,86,0.93,1,5
350,2,1,,1,3,67,0.94,0.82,9
225,1,1,1,1,0,,0.96,0.77,266
6986,1,1,,1,0,,,,10
500,2,1,1,1,19,94,0,,2
625,5,1,1,2,51,95,0.5,0.75,1
209,1,1,1,1,33,94,1,1,6
289,1,1,1,1,5,96,1,1,6
480,2,1,1,1,33,96,0,,2
777,5,1.5,,3,74,93,1,0.97,11
660,2,1,,1,0,,0.98,0.73,101
1800,2,1,,1,1,60,0,,1
598,2,1,1,1,24,98,1,0.33,1
485,2,1,,1,3,100,0.98,0.73,101
450,2,1,1,2,41,98,1,0.5,1
660,2,1,,1,1,,0.98,0.73,101
1200,2,1,1,0,18,96,,,
1100,4,1,2,2,0,,1,1,2
400,1,1,1,1,174,94,0.9,0.97,2
399,1,1,,1,28,89,0.3,1,3
499,2,1,1,1,26,94,0.3,1,3
1240,3,1,,1,24,93,1,0.98,16
759,3,1,,1,7,97,1,0.98,16
759,3,1,,1,7,91,1,0.98,16
489,4,1,,1,158,93,1,0.97,8
380,2,1,,0,32,96,0.94,0.82,9
950,2,1,1,1,31,94,0,0.13,2
360,1,1,1,1,25,96,,,1
400,1,1.5,1,1,3,100,,,1
500,1,1,1,1,0,,,,1
1200,4,2,2,2,8,98,,,
490,2,1,1,1,3,93,,,1
690,6,1,2,3,50,90,0.97,1,12
660,2,1,,1,3,100,0.98,0.73,101
510,3,1.5,1,1,96,92,0.91,0.99,5
1200,6,2,2,2,7,91,1,0.5,1
957,3,1,1,2,16,92,0,,1
575,5,1,,3,53,89,1,0.97,11
239,1,1,1,1,0,,0.96,0.77,266
863,3,1,1,2,15,88,0,,1
3500,4,1,1,4,5,96,1,0,1
150,1,1.5,1,1,6,90,1,1,10
187,1,1,1,1,0,,0.96,0.77,266
560,2,1,1,1,57,96,0.9,0.54,2
690,3,1,,1,1,40,0.98,0.73,101
707,1,1.5,1,1,12,92,,,2
1157,4,1,2,2,0,,1,,1
590,3,1,1,1,8,93,1,0.4,1
1845,2,1,1,1,0,,,,1
1513,2,1,1,1,35,98,0.8,1,6
536,2,1,,1,0,,0.98,0.73,101
380,2,1,,1,1,,1,0.33,239
530,2,1,,0,0,,1,0.33,239
290,2,1,1,1,0,,1,0.8,369
320,1,1,1,1,8,97,0.5,0.73,4
2500,2,1,1,1,0,,1,0.33,239
504,2,1,1,1,0,,0,,0
499,8,1,1,1,0,,0,1,7
283,2,1,1,1,0,,1,0.8,369
550,1,1.5,1,1,0,,0,1,1
799,2,1,1,1,7,97,1,0.78,0
13250,1,1,1,1,0,,,,1
799,4,1,2,2,0,,,0.5,1
600,7,1,4,4,0,,0.95,0.77,230
250,1,1,1,1,0,,0.96,0.77,266
380,1,2,1,1,0,,,1,0
232,1,1,,1,1,80,0.95,0.77,230
250,2,1,1,1,0,,0.96,0.77,266
236,1,1,1,1,0,,1,0.8,369
148,1,1,,1,0,,0.95,0.77,230
270,2,1,1,0,0,,1,0.8,369
200,2,1,1,1,0,,1,0.8,369
293,2,1,1,1,0,,1,0.8,369
286,2,1,1,0,0,,1,0.8,369
186,1,1,1,1,0,,0.95,0.77,230
550,2,1,1,1,0,,,0.5,2
216,2,1,1,1,0,,1,0.8,369
240,2,1,1,1,0,,0.95,0.77,230
250,1,1,1,1,0,,0.95,0.77,230
79,1,1,1,,0,,0,,2
400,2,,,,0,,,,0
240,2,1,1,0,0,,0.96,0.77,266
150,1,1,1,0,0,,0.96,0.77,266
695,2,1,1,1,0,,0,,1
850,2,1,1,1,0,,1,0.5,0
550,2,1,,2,0,,1,0.5,0
650,2,1,1,1,0,,1,0.5,0
215,1,1,1,,0,,0.96,0.77,266
215,1,1,1,0,0,,0.96,0.77,266
270,2,1,,0,0,,0.96,0.77,266
315,1,1,1,1,0,,0.95,0.69,386
283,2,3,1,0,0,,1,0.8,369
850,2,1,1,1,0,,1,0.5,0
216,2,1,1,1,0,,1,0.8,369
900,3,1,2,2,1,100,1,0.5,0
280,2,1,1,1,0,,0.95,0.77,230
600,2,1,,1,0,,1,0.35,225
240,2,1,1,1,0,,0.95,0.77,230
290,2,1,,1,0,,0.95,0.69,386
400,2,1,,1,0,,,1,0
210,1,1,1,1,0,,0.95,0.77,230
316,2,1,1,1,0,,0.96,0.77,266
283,2,1,1,1,0,,0.96,0.77,266
233,2,1,1,1,0,,0.95,0.77,230
233,2,1,1,1,0,,1,0.8,369
137,1,1,1,1,0,,0.95,0.77,230
620,2,1.5,1,1,4,100,0.89,1,1
216,1,1,,1,0,,1,0.8,369
250,2,1,1,1,0,,1,0.8,369
320,1,1,1,1,0,,1,0.8,369
635,2,1,,1,0,,1,0.33,239
273,2,1,,1,0,,1,0.8,369
253,2,1,1,1,0,,1,0.8,369
216,2,1,1,1,0,,1,0.8,369
166,2,1,1,1,0,,1,0.8,369
135,1,1,1,1,0,,0.95,0.77,230
500,2,1,1,1,0,,0,,1
1690,4,1,2,2,2,100,,,0
293,2,1,,1,0,,0.95,0.69,386
120,1,2,1,1,0,,0,,1
450,2,1,1,1,2,90,0.9,0.59,4
500,2,1,,1,0,,1,0.33,239
150,1,1,1,1,0,,0,0,1
400,1,1,1,1,0,,0,,1
650,2,1,,1,0,,1,0.33,239
600,2,1,1,1,0,,1,0.33,239
950,6,1,2,2,29,95,0.92,0.98,5
200,1,1,1,1,0,,0.95,0.69,386
79,1,1,1,,0,,0,,2
196,1,1,1,1,0,,0.95,0.77,230
200,1,1,,1,0,,0.95,0.77,230
250,2,1,1,1,0,,1,0.8,369
243,2,1,1,1,0,,1,0.8,369
233,1,1,1,1,0,,1,0.8,369
416,1,1,,1,0,,1,0.35,225
260,1,1,1,1,0,,1,0.8,369
283,2,1,1,1,0,,1,0.8,369
216,2,1,1,1,0,,1,0.8,369
400,2,1,1,1,0,,0,1,0
253,1,1,,1,0,,0.96,0.77,266
200,1,1,,1,0,,0.96,0.77,266
206,1,1,1,1,0,,0.95,0.77,230
520,8,1,4,4,0,,0.96,0.77,266
296,2,1,1,1,0,,0.96,0.77,266
250,1,1,1,1,0,,0.95,0.77,230
250,2,1,1,1,0,,1,0.8,369
620,2,1,1,1,1,100,,,1
210,2,1,1,1,0,,1,0.8,369
256,2,1,1,1,0,,1,0.8,369
196,2,1,1,1,0,,1,0.8,369
196,1,1,1,1,0,,1,0.8,369
250,1,2,1,1,1,100,1,1,6
293,2,1,1,1,0,,0.95,0.77,230
600,2,1.5,1,1,0,,,,2
1600,2,1,,1,0,,1,0.33,239
700,2,1,1,1,0,,,,1
1941,2,1,,1,0,,0.8,1,6
250,1,1,,1,0,,,,0
740,2,1,,1,0,,1,0.33,239
513,2,1,,1,0,,0.98,0.73,101
513,2,1,,1,0,,0.98,0.73,101
600,4,1,1,1,2,90,0.46,0.67,2
2300,2,1,1,1,0,,0.93,1,0
680,3,1,1,1,0,,0.46,0.67,2
505,2,1,,1,0,,1,0.33,239
1300,2,1,,2,0,,1,1,0
700,2,1.5,1,1,0,,0.92,0.52,5
1000,4,1,3,3,0,,1,0.33,239
1600,6,3,3,3,0,,0.5,1,0
767,6,1,2,3,1,100,0.97,1,12
581,2,1,1,1,0,,0.7,1,3
450,2,1,,1,0,,1,0.33,239
1500,2,1,1,1,3,100,1,0.6,1
581,1,1,,1,0,,0.7,1,5
875,3,1,1,2,1,100,1,0.83,1
1150,3,1,2,2,6,97,1,1,2
270,1,1,1,1,1,100,1,1,1
1190,4,1,2,2,3,100,0.67,0.83,0
300,1,0,,1,0,,,,2
750,1,1,1,1,0,,1,,1
2200,2,1,1,1,0,,1,0.83,12
694,3,1,,2,0,,1,,1
2093,4,2,2,2,0,,0.41,0,2
480,1,1,1,1,0,,,,0
550,2,1,,1,0,,1,1,11
1143,3,1.5,1,1,0,,1,1,2
979,2,1,1,1,0,,1,1,2
1000,2,1,,1,0,,,,1
330,1,1,1,1,0,,0.77,0.6,7
4000,5,2,3,3,0,,0.93,1,0
2000,4,1,1,2,3,93,1,0.6,1
400,2,1,1,,0,,0.47,0.83,6
1199,4,1,2,2,0,,1,1,3
350,1,1.5,1,0,0,,1,0.83,1
730,2,1,1,1,0,,1,1,3
1550,4,1,1,2,0,,1,1,1
740,2,1,,1,0,,1,0.33,239
1829,3,1,1,1,0,,1,0.5,1
600,3,1,2,2,0,,0.88,,0
640,2,1,1,1,0,,1,,0
784,2,1,,1,0,,1,0.33,239
400,2,1,1,,0,,1,0.5,0
700,2,1,,1,0,,1,0.35,225
250,1,1,1,,0,,1,,0
988,2,1,1,0,0,,1,1,3
450,1,1,1,1,0,,1,,1
670,2,1,1,1,0,,0.98,0.73,101
700,3,1,3,3,0,,1,,0
556,2,1,,1,10,100,0.9,0.99,1
1126,2,1,1,1,0,,1,0.88,4
684,2,1,1,1,0,,0.98,0.73,101
1588,6,1,3,3,1,80,0.93,1,5
300,2,1,1,2,0,,1,0.6,0
1500,2,1,,1,0,,,0,0
450,1,1,1,,0,,,,0
791,3,1,3,1,0,,0.77,0.6,7
600,5,1,1,3,0,,1,0.85,8
550,3,1,1,1,5,96,0.2,0.75,1
450,2,1,1,,0,,,,1
1126,2,1,1,2,0,,1,0.88,4
600,1,1,1,,0,,,,1
420,2,1,1,1,0,,0,1,0
420,2,1,1,1,1,80,0,1,0
210,1,2,,1,0,,1,1,6
400,1,1.5,,0,1,100,0.47,0.83,6
350,1,1,1,1,3,100,0.9,0.59,4
450,2,1.5,1,0,3,100,,1,1
1250,2,1.5,2,1,1,40,1,0.96,2
600,4,1,2,2,1,100,0.98,0.95,3
960,2,1,,1,0,,1,0.33,239
612,4,1,3,3,1,80,1,,2
880,2,1,2,2,0,,1,0.99,14
600,3,1,2,2,0,,1,,6
1426,2,1,1,1,0,,1,0.88,4
450,2,1,,1,0,,1,0.35,225
300,2,1,1,1,0,,0,,0
300,2,1,1,1,0,,,,0
386,2,1,1,1,0,,,,0
900,2,1,1,1,0,,,,1
380,2,1,,1,6,100,1,0.97,4
550,1,1,1,1,0,,,,2
550,1,1,,1,0,,,,2
170,1,1,,1,0,,0.95,0.77,230
380,2,1,,1,10,92,1,0.97,4
1000,2,1,,1,0,,0.15,1,1
1900,2,1,1,1,1,100,1,0.88,4
1400,2,1,,1,3,100,1,1,0
907,2,1,1,1,0,,1,1,3
757,2,1,1,1,0,,1,1,3
5450,4,1,2,3,0,,1,0.75,4
1143,2,1,1,1,0,,1,0.75,4
1484,6,1,1,3,5,100,1,0.85,8
500,2,1,,1,0,,1,0.33,239
300,1,1.5,1,1,3,100,1,0.38,2
825,3,1,1,1,0,,0.8,0.33,1
700,2,1,,1,0,,1,0.33,239
400,2,1,,1,0,,1,0.35,225
1157,2,1,1,1,0,,1,1,3
2800,7,2,3,6,1,100,1,1,4
549,4,1,,1,3,100,0.17,1,2
750,2,1,1,1,1,100,0.67,0.55,2
1200,6,1,2,2,37,91,1,0.97,14
590,1,1,1,1,1,100,1,1,1
350,1,1,1,1,3,100,1,,2
270,1,1,1,1,0,,1,0.8,369
270,1,1,1,1,0,,1,0.8,369
270,1,1,1,1,0,,1,0.8,369
268,1,1,1,1,0,,1,0.8,369
450,1,1,1,1,9,100,0,,1
2000,4,2,2,2,2,100,1,1,0
10768,2,1,,1,14,99,,,1
1100,6,1,2,2,21,90,1,0.97,14
700,3,1,1,1,1,100,1,,1
220,1,1,1,1,0,,0.8,0.93,4
300,1,1,1,1,12,85,0,,1
1300,6,1,2,2,16,91,1,0.97,14
507,2,1,,1,1,100,1,0.35,225
982,6,1,,4,48,95,1,1,11
1399,4,2,2,2,2,90,1,1,1
233,1,1,1,1,0,,1,0.8,369
280,1,1,1,1,0,,1,0.8,369
280,1,1,1,1,0,,1,0.8,369
170,1,1,1,1,0,,1,0.8,369
270,1,1,1,1,0,,1,0.8,369
230,1,1,1,1,0,,1,0.8,369
1000,4,1,1,2,4,90,1,0.97,14
170,1,1,1,1,0,,1,0.8,369
399,6,1,,1,2,50,,1,14
