price,district,room_type,bathroom_type,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
$250.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,95%,77%,230
$820.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,100%,33%,239
$823.00,Central & Western,Entire home/apt,1 bath,3,1 bath,1,2,10,94,100%,100%,1
"$2,671.00",Central & Western,Entire home/apt,1 bath,4,1 bath,2,2,6,92,0%,,1
$400.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,,0%,2
$650.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,,1,100,,,1
$284.00,Central & Western,Private room,1 shared bath,2,1 shared bath,,1,0,,100%,80%,369
"$1,500.00",Central & Western,Entire home/apt,2 baths,2,2 baths,2,2,4,100,100%,100%,2
$634.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,100%,35%,225
$324.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
$495.00,Central & Western,Private room,1 private bath,4,1 private bath,2,3,2,100,100%,,1
"$5,440.00",Central & Western,Hotel room,1 bath,2,1 bath,1,1,6,87,,,1
$223.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
$152.00,Central & Western,Private room,1.5 shared baths,1,1.5 shared baths,1,1,13,92,100%,100%,10
$600.00,Central & Western,Entire home/apt,1.5 baths,3,1.5 baths,,1,42,94,100%,96%,7
"$1,700.00",Central & Western,Entire home/apt,1 bath,4,1 bath,1,2,25,94,100%,97%,11
"$1,100.00",Central & Western,Entire home/apt,3 baths,8,3 baths,2,4,9,83,100%,100%,7
$880.00,Central & Western,Entire home/apt,1 bath,3,1 bath,1,2,17,82,100%,100%,7
$880.00,Central & Western,Entire home/apt,1 bath,3,1 bath,,2,25,92,100%,100%,7
"$1,100.00",Central & Western,Entire home/apt,2 baths,6,2 baths,2,3,41,93,100%,100%,7
$274.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
"$2,000.00",Central & Western,Entire home/apt,1 bath,4,1 bath,2,2,0,,0%,,0
